Column1,SubCategory 1,SubCategory 2,SubCategory 3
energi effici,11,21,42
energi consumpt,11,21,
renew energi,12,21,
climat chang,12,42,
busi model,41,,
energi system,14,23,
energi save,11,23,32
heat cool,14,21,
cost effect,13,41,
sustain energi,33,42,
larg scale,24,42,
long term,42,31,
energi manag,23,42,
energi demand,14,23,
energi perform,14,21,
energi sourc,11,21,
valu chain,31,43,
smart citi,23,31,
smart grid,23,,
low carbon,14,21,43
develop new,24,31,
reduc energi,11,31,42
build energi,11,23,34
real time,23,,
energi transit,21,31,
energi commun,23,31,41
energi storag,22,,
energi use,23,32,
zero energi,14,21,31
residenti build,11,31,
decis make,42,,
low cost,13,22,31
research innov,24,31,
next gener,14,24,
big data,24,,
heat pump,21,,
manag system,23,,
build stock,11,31,
energi build,11,21,33
fossil fuel,12,,
capac build,11,21,
energi harvest,21,,
polici maker,31,42,
district heat,14,21,
life cycl,43,,
best practic,34,,
develop innov,24,31,42
local energi,14,21,31
high perform,14,21,
feasibl studi,13,41,
effici build,11,21,31
socio econom,31,,
energi gener,21,,
exist build,11,31,
environment impact,12,33,43
improv energi,11,21,32
busi plan,31,41,
energi cost,13,31,43
energi poverti,31,,
urban area,33,42,
smart energi,23,,
low energi,14,,
ghg emiss,12,21,
nearli zero,11,31,21
clean energi,21,12,
greenhous ga,12,43,
deep renov,11,,
energi servic,23,,
energi product,21,31,
air qualiti,33,,
build block,11,,
innov solut,24,31,
thermal energi,14,,
solar energi,21,,
high energi,11,23,
cost effici,13,,
energi consum,11,31,
build sector,11,34,21
public build,34,,
ga emiss,12,21,
demand respons,23,,
eu energi,42,31,
technolog develop,24,14,
address challeng,21,31,
develop demonstr,23,,
circular economi,43,,
perform build,11,21,
wast heat,14,21,
raw materi,43,,
effici energi,11,21,31
energi market,44,,
new busi,41,,
primari energi,12,21,43
creat new,31,41,
smart meter,23,,
market uptak,44,,
busi opportun,41,,
sustain develop,21,31,42
energi sector,42,,
live lab,23,31,31
energi suppli,14,23,
build owner,34,44,
new technolog,24,14,
build renov,12,,
real life,23,31,
build envelop,12,,
new build,11,21,31
public privat,34,44,
oper cost,13,41,
electr vehicl,23,,
thermal insul,11,,
action plan,42,,
save energi,11,,
energi resourc,43,,
machin learn,24,,
heat system,14,,
carbon footprint,12,43,
suppli chain,43,,
resourc effici,43,,
artifici intellig,24,,
wind turbin,21,24,
system integr,23,,
control system,23,,
innov technolog,24,,
solar cell,21,,
internet thing,23,,
cost reduct,13,,
energi polici,42,,
fuel cell,24,,
ad valu,31,42,
first time,24,31,
new gener,14,24,
power system,14,23,
emiss reduct,12,,
design develop,23,,
storag system,22,,
electr grid,23,,
scientif commun,34,44,
smart build,21,33,
behaviour chang,32,,
evid base,31,,
electr energi,11,23,
electr consumpt,14,23,32
environment friendli,43,,
residenti sector,21,,
develop test,24,,
social hous,31,42,
energi retrofit,21,,
reduct energi,11,23,
build integr,11,23,44
industri partner,34,,
public transport,34,33,
use energi,21,33,
econom environment,31,44,
technolog solut,24,,
effici measur,12,,
knowledg transfer,32,,
local level,31,,
energi technolog,21,,
solar panel,21,,
demand side,14,23,
climat action,12,42,43
earli stage,24,,
small scale,14,21,31
integr energi,23,11,
key stakehold,34,44,
global energi,21,42,
cool system,14,21,
solar thermal,21,,
cost save,13,31,
insul materi,11,,
across eu,42,34,
energi renov,11,21,
power gener,21,,
busi case,41,,
new energi,21,,
cloud base,23,24,
data analyt,24,,
wastewat treatment,14,21,34
low power,12,23,
scale demonstr,23,,
reduc cost,13,31,
thermal storag,22,,
water energi,21,,
develop technolog,24,,
develop novel,24,,
electr heat,14,21,
air condit,11,24,
qualiti life,34,,
low temperatur,14,,
term energi,21,,
polici recommend,42,,
multi disciplinari,34,44,
develop solut,23,,
heat exchang,14,21,
distribut grid,23,,
energi densiti,14,,
develop integr,34,,
innov busi,41,31,
european market,44,34,
climat neutral,12,,
use renew,21,,
urban plan,34,42,
effici polici,42,,
decis support,42,,
solut provid,24,,
european research,34,24,44
full scale,42,,
reduc emiss,12,,
urban environ,34,,
user friendli,32,24,
power plant,14,21,
thin film,24,,
invest energi,41,34,
technic econom,34,44,
system oper,14,,
eu build,11,42,34
local commun,31,,
servic provid,31,,
commerci build,34,,
energi network,23,,
data collect,23,,
open sourc,24,,
develop valid,23,,
data driven,24,,
lighthous citi,24,,
smart home,11,,
eu polici,42,,
construct industri,11,,
build respons,11,23,
treatment plant,14,21,34
energi plan,42,,
net zero,12,21,
integr solut,23,31,
solar power,21,,
cost energi,13,21,41
energi water,21,33,
european industri,34,44,
optim energi,12,33,
partner countri,34,,
target market,34,,
industri process,34,,
decis maker,42,,
construct sector,11,,
power grid,14,23,
district level,14,,
geotherm energi,21,,
effici invest,12,,
digit twin,24,,
data centr,24,,
carbon emiss,12,21,
new materi,24,11,
local region,31,42,
built environ,31,33,
new job,31,,
social innov,31,,
global market,44,,
effici renew,11,21,
space heat,14,21,
thermal comfort,11,33,
third parti,34,,
sme instrument,34,44,
manag energi,23,42,
save gwh,12,,
social econom,32,,
polici make,42,,
integr approach,34,44,
heat recoveri,14,21,
citizen engag,32,,
new solut,24,,
innov approach,24,31,
optimis energi,14,23,
econom growth,42,41,
civil societi,31,,
