,tf-idf
energi effici,16.163905438435556
energi consumpt,10.608381885479988
renew energi,8.691138123990186
busi model,6.791466944350016
climat chang,6.77083220826971
energi system,6.329258489370456
end user,6.021081264555973
energi save,5.703634475372687
heat cool,5.666663349013408
sustain energi,5.143446961009288
cost effect,4.947141057808813
energi manag,4.67418596751732
energi perform,4.615899692260574
larg scale,4.612031325442053
smart citi,4.403477001423665
long term,4.378665688428165
smart grid,4.359058152924559
energi demand,4.3544196904918095
energi sourc,4.313752205501403
valu chain,4.191613400374127
energi commun,4.086619929100547
low carbon,3.920542920290994
build energi,3.8965163749738636
energi transit,3.7618687963424
reduc energi,3.7476105932988153
real time,3.685126917718416
energi storag,3.6809801619955422
state art,3.6310248830761176
develop new,3.6075546906498466
residenti build,3.5414470435631618
energi use,3.522642854474275
zero energi,3.503505824100085
research innov,3.399545817250504
heat pump,3.3549954040258054
decis make,3.2630592177761373
across europ,3.1918038911352764
energi harvest,3.1813408116422295
low cost,3.1780444961500804
big data,3.163705589675553
manag system,3.115759838318934
main object,3.1031812865582005
build stock,3.0995369529034145
next gener,3.072589497121133
energi build,3.0210211102193165
district heat,3.0007470139609707
local energi,2.985816333340126
energi poverti,2.9566535653289394
public author,2.935493639961855
capac build,2.9238412696118457
fossil fuel,2.8878435972964875
increas energi,2.8874794262335466
best practic,2.8498758343902852
polici maker,2.8327865546924937
life cycl,2.823400412548837
effici build,2.7875367426828332
develop innov,2.783338349463916
exist build,2.764831752880482
high perform,2.7482710865872653
bring togeth,2.7413290336350324
energi gener,2.733391269132273
deep renov,2.7295109398494035
socio econom,2.7066616918678017
feasibl studi,2.702877529624729
improv energi,2.6123483508726477
energi cost,2.545708414731439
smart energi,2.5290567033687856
nearli zero,2.523159418746005
environment impact,2.5214312744414746
busi plan,2.5018408895788284
ghg emiss,2.4757827216506945
urban area,2.432341829428311
member state,2.427170353685044
clean energi,2.4239433956920275
low energi,2.4157448797345853
use case,2.393727613819791
energi servic,2.393601421823578
public build,2.365815846948388
greenhous ga,2.362860519484612
thermal energi,2.3071207357633834
solar energi,2.305920423118757
innov solut,2.263525428689024
energi consum,2.2616913759594395
air qualiti,2.2532512975917305
demand respons,2.25313282330567
energi product,2.2484213427841597
build sector,2.234555110825703
wast heat,2.2296503997291097
energi climat,2.2250174434522147
smart meter,2.2141643730117133
