id,Cathegories
1,Energy consumption and carbon footprint reduction
11,renovation and energy efficiency
12,GHG emissions reduction 
13,cost efficiency (cost reduction)
14,heating and cooling energy demand and consumption
2,"Low carbon, Smart Technologies"
21,Energy generation and RES
22,Energy storage
23,"EMS, Smart grid and Living Laboratories"
24,"Tech innovaton, Solution developmant, Modeling and forecasting tools"
3,Social Economy and Humanities
31,"Social prosperity, employement and innovation"
32,socio-cultural impact 
33,"Health, urban and environment quality "
34,"Stakeholders relations (public industry, society)"
4,"Policy, Government, Strategy"
41,business model
42,policy decision making
43,circularity and resource management
44,market uptake
