,Main_category
58,1
62,3
135,1
228,2
325,4
361,3
428,3
432,1
441,1
443,3
444,3
449,1
463,1
477,2
488,4
533,3
534,4
535,4
635,4
672,1
673,2
691,4
699,4
700,4
714,3
717,2
746,2
747,1
789,1
901,2
910,1
919,2
920,2
934,2
968,3
969,4
1020,2
1103,2
1113,2
1157,1
1177,2
1184,4
1251,1
1286,2
1306,1
1338,2
1398,4
1417,1
1420,2
1447,2
1453,1
1454,3
1539,1
1560,1
1561,1
1562,1
1572,2
1582,3
1662,3
1664,2
1766,1
1776,4
1795,3
1831,4
1832,2
1855,1
1861,2
1871,3
1884,1
1908,3
1926,1
1943,1
1955,2
2008,2
2022,3
2025,2
2035,1
2041,1
2042,2
2057,1
2064,1
2083,2
2100,1
2114,2
2117,3
2135,1
2136,3
2138,1
2142,1
2218,4
2330,2
2351,2
2379,4
2411,2
2440,2
2452,2
2495,2
2505,2
2521,4
2541,1
2580,3
2612,2
2671,2
2694,1
2742,4
2756,2
2788,1
2831,2
2867,1
2897,2
2920,3
2963,4
3030,1
3044,3
3046,4
3049,1
3055,4
3089,3
3111,3
3157,1
3160,1
3164,2
3204,1
3228,3
3234,1
3252,1
3271,4
3333,2
3369,1
3371,4
3374,3
3382,4
3427,2
3430,1
3463,2
3525,2
3560,2
3580,2
3657,2
3661,4
3705,3
3730,2
3752,1
3760,2
3761,1
3763,2
3766,2
3769,1
3783,1
3796,2
3798,3
3805,2
3816,3
3824,2
3840,2
3854,2
3867,1
3874,2
3909,1
3979,3
3982,1
3987,3
3996,2
3997,4
4041,3
4042,2
4051,2
4063,1
4065,1
4067,2
4074,1
4097,2
4105,2
4106,2
4110,2
4123,2
4124,2
4159,2
4165,3
4167,2
4183,1
4190,3
4195,1
4219,3
4241,2
4312,2
4313,3
4320,1
4322,2
4329,4
4331,2
4335,3
4345,1
4351,4
4353,1
4356,2
4384,2
4413,3
4426,2
4428,2
4434,3
4451,1
4457,3
4467,3
4510,1
4512,2
4531,2
4538,3
4542,2
4546,2
4555,2
4559,1
4565,1
4566,1
4569,4
4571,2
4572,2
4573,2
4574,3
4577,2
4639,1
4665,3
4669,2
4675,2
4690,2
4700,1
4705,1
4719,4
4743,2
4749,2
4755,2
4758,2
4759,4
4761,2
4773,2
4797,2
4811,4
4822,2
4824,2
4826,2
4829,4
4837,3
4849,3
4855,2
4857,2
4859,2
4876,3
4878,2
4883,2
4888,3
4909,3
4923,3
4957,2
4964,4
4989,2
4998,1
5011,2
5014,2
5028,2
5029,2
5047,4
5048,2
5049,2
5057,2
5067,4
5068,3
5072,3
5073,4
5075,2
5077,1
5081,2
5084,4
5086,1
5087,3
5088,2
5090,2
5097,3
5105,3
5111,4
5119,3
5143,2
5152,3
5218,3
5220,3
5228,1
5240,2
5250,2
5254,2
5271,1
5277,2
5278,1
5279,2
5283,2
5289,2
5300,2
5301,2
5303,2
5322,4
5326,4
5327,3
5329,2
5339,4
5345,1
5346,2
5359,2
5362,2
5363,4
5370,3
5384,3
5385,2
5426,2
5431,2
5479,1
5519,2
5520,2
5548,2
5549,1
5557,1
5583,2
5585,3
5593,1
5596,4
5614,4
5620,1
5622,1
5623,1
5628,2
5647,2
5663,2
5682,2
5690,1
5704,1
5717,1
5737,2
5741,2
5750,2
5752,1
5755,2
5759,1
5767,2
5781,4
5797,2
5802,2
5819,4
5821,1
5824,1
5826,4
5846,1
5852,3
5860,2
5861,2
5862,3
5922,2
5957,1
5970,1
5973,1
5990,2
5995,3
6020,2
6021,4
6022,1
6057,1
6062,2
6108,1
6124,2
6136,1
6162,1
6184,2
6198,2
6229,2
6230,2
6232,3
6242,1
6264,2
6314,2
6316,2
6318,3
6322,2
6323,2
6324,2
6327,1
6328,2
6329,2
6330,2
6336,4
6338,4
6339,2
6341,2
6443,2
6497,4
6505,1
6506,2
6507,2
6511,2
6512,2
6518,2
6528,2
6529,2
6536,2
6539,1
6540,3
6554,1
6568,1
6574,2
6621,4
6622,2
6650,1
6653,4
6664,1
6673,1
6714,2
6726,2
6749,1
6754,2
6758,4
6760,1
6762,2
6790,2
6791,2
6793,2
6794,2
6799,3
6801,2
6802,2
6803,2
6815,2
6817,2
6818,1
6823,3
6877,4
6887,1
6889,2
6897,1
6916,3
6920,2
6925,4
6939,2
6983,2
6991,2
7000,3
7003,2
7004,2
7006,2
7007,2
7010,3
7011,4
7014,2
7028,2
7030,3
7033,1
7038,1
7048,3
7086,2
7090,2
7101,2
7138,4
7144,1
7153,2
7160,1
7188,1
7268,1
7270,2
7310,2
7333,4
7337,1
7394,4
7398,2
7414,1
7424,4
7426,4
7437,2
7439,4
7484,1
7502,2
7525,2
7558,3
7634,1
7636,2
7641,1
7644,2
7645,2
7647,2
7649,3
7651,2
7661,2
7670,2
7675,2
7677,2
7739,1
7816,2
7853,2
7870,2
7872,4
7882,3
7894,1
7918,1
7943,1
8009,2
8010,2
8012,4
8013,2
8015,2
8045,2
8074,4
8094,1
8097,1
8133,1
8249,1
8273,2
8297,1
8305,4
8350,3
8355,1
8368,2
8432,4
8474,1
8475,1
8477,1
8482,1
8498,1
8596,3
8715,1
8720,2
8724,2
8731,2
8783,4
8857,2
8879,1
8928,2
8944,3
8991,4
9002,3
9005,1
9080,3
9201,1
9219,1
9231,3
9251,1
9264,1
9278,2
9365,2
9380,1
9381,2
9687,2
9712,1
9719,2
9724,1
9753,2
9773,2
9774,2
9776,3
9777,2
9779,1
9780,2
9806,1
9832,2
9877,4
9895,2
10011,2
10048,2
10095,3
10144,2
10181,4
10185,2
10187,4
10212,2
10232,2
10269,1
10293,4
10331,1
10333,2
10379,3
10387,4
10598,1
10712,4
10730,2
10821,1
10857,3
10893,2
10894,2
10911,2
10922,2
10928,2
10929,1
10938,2
10949,3
10957,3
11152,1
11290,2
11300,2
11398,2
11523,1
11590,4
11653,2
11672,2
11687,2
11699,1
11702,1
11734,3
11792,4
11851,1
11893,2
11898,2
11899,1
11922,2
11958,2
11970,1
12013,3
12039,3
12107,1
12119,3
12151,2
12168,1
12183,2
12223,3
12329,3
12384,1
12399,2
12424,4
12469,2
12663,2
12682,1
12698,4
12699,2
12706,1
12723,2
12854,2
12868,4
12930,2
12937,2
13039,4
13046,2
13099,1
13152,3
13194,2
13353,4
13381,3
13426,3
13429,2
13433,2
13438,1
13466,1
13541,1
13556,3
13570,3
13630,3
13663,2
13678,2
13723,1
13729,4
13735,1
13767,2
13793,1
13940,2
13980,2
13999,4
14017,2
14156,2
14220,1
14251,1
14463,1
14465,1
14525,4
14768,4
14879,1
14914,2
14918,1
14947,3
14961,2
14963,2
14964,4
14967,2
14974,1
14987,2
15042,2
15049,1
15136,1
15155,1
15263,3
15280,2
15390,3
15418,2
15504,4
15532,2
15635,2
15650,4
15675,2
15716,4
15725,2
15805,3
15870,3
15980,1
16017,2
16174,2
16309,4
16310,2
16374,2
16379,3
16442,1
16527,2
16535,3
16536,2
16559,2
16654,3
16672,2
16728,3
16769,2
16794,2
16827,2
16830,1
16869,1
16927,1
16958,4
17196,2
17202,1
17315,1
17358,4
17426,1
17480,1
17482,2
17483,3
17485,2
17488,2
17497,2
17508,2
17510,2
17547,2
17652,2
17692,3
17720,4
17894,2
17916,1
17947,2
17973,1
17976,1
18021,2
18034,2
18137,1
18143,2
18150,1
18178,2
18226,2
18256,1
18324,2
18325,4
18362,1
18381,2
18393,1
18395,3
18404,2
18446,2
18493,3
18508,3
18536,3
18577,1
18634,3
18739,2
18768,1
18770,2
18775,2
18833,2
18834,4
18857,4
18873,3
18888,2
18910,1
18956,1
19020,3
19037,3
19045,2
19046,1
19061,2
19068,3
19078,4
19096,2
19138,2
19170,4
19172,2
19175,4
19196,1
19202,2
19206,1
19214,2
19234,1
19235,1
19252,4
19275,2
19288,2
19321,2
19323,1
19357,3
19362,2
19418,2
19419,2
19426,1
19495,2
19526,2
19533,2
19538,3
19551,2
19561,1
19604,1
19625,1
19643,2
19687,4
19738,2
19802,4
19803,2
19822,3
19839,2
19861,1
19922,4
19939,4
19977,2
20039,2
20052,1
20062,2
20166,2
20193,4
20218,2
20228,2
20373,1
20514,4
20515,2
20563,2
20575,1
20668,2
20690,4
20737,1
20804,3
20869,1
20872,1
20964,1
21007,2
21021,4
21040,3
21064,2
21080,2
21130,2
21167,3
21223,2
21270,1
21317,1
21328,2
21336,2
21423,3
21724,1
21742,2
21759,1
21850,2
21892,3
21901,2
21911,1
21953,2
21974,1
21994,2
22100,2
22103,2
22124,1
22150,3
22152,4
22189,2
22209,4
22233,2
22492,4
22503,1
22516,4
22525,2
22567,2
22588,2
22648,1
22652,2
22661,3
22665,4
22690,2
22789,2
22852,3
22897,2
22901,3
22987,2
22994,1
23055,1
23057,1
23084,2
