,term_treq
energi effici,705
energi consumpt,415
renew energi,301
climat chang,216
busi model,205
energi system,180
end user,172
energi save,161
heat cool,144
cost effect,139
sustain energi,134
larg scale,133
long term,120
energi manag,119
energi perform,117
energi demand,117
energi sourc,114
valu chain,108
smart citi,105
smart grid,104
low carbon,99
develop new,97
reduc energi,97
state art,96
build energi,96
real time,91
energi transit,90
energi commun,89
energi storag,89
energi use,84
zero energi,84
residenti build,83
across europ,80
main object,79
decis make,79
low cost,79
research innov,78
next gener,76
big data,75
heat pump,73
manag system,72
build stock,71
energi build,70
capac build,68
increas energi,68
fossil fuel,68
polici maker,67
energi harvest,67
life cycl,66
develop innov,66
district heat,66
best practic,66
bring togeth,65
local energi,65
public author,64
high perform,64
effici build,63
feasibl studi,63
socio econom,62
energi gener,61
exist build,60
improv energi,59
environment impact,59
energi poverti,58
busi plan,58
energi cost,58
urban area,57
smart energi,56
ghg emiss,55
member state,55
low energi,55
use case,54
nearli zero,54
clean energi,54
greenhous ga,53
deep renov,53
energi product,50
energi servic,50
solar energi,49
thermal energi,49
build block,49
innov solut,49
air qualiti,49
cost effici,48
high energi,48
energi consum,48
energi climat,47
build sector,47
public build,47
ga emiss,47
technolog develop,46
demand respons,46
case studi,46
eu energi,46
wide rang,45
develop demonstr,45
address challeng,45
circular economi,44
perform build,44
wast heat,43
market uptak,43
effici energi,43
smart meter,43
creat new,43
new busi,43
high qualiti,43
primari energi,43
raw materi,43
energi market,43
sustain develop,42
busi opportun,42
energi sector,42
cut edg,41
energi suppli,41
live lab,41
per year,41
build owner,41
build renov,40
new build,40
new technolog,40
build envelop,40
real life,40
european countri,40
public privat,39
electr vehicl,39
oper cost,39
action plan,38
thermal insul,38
european energi,38
save energi,37
machin learn,37
energi resourc,37
heat system,36
carbon footprint,36
resourc effici,36
suppli chain,36
wind turbin,35
overal object,35
control system,35
artifici intellig,35
system integr,35
local author,35
solar cell,34
internet thing,34
cost reduct,34
innov technolog,34
european citi,34
new gener,33
first time,33
fuel cell,33
ad valu,33
high level,33
energi polici,33
total energi,33
emiss reduct,32
design develop,32
power system,32
storag system,32
electr energi,31
system develop,31
gwh year,31
european union,31
object develop,31
electr grid,31
scientif commun,31
evid base,31
eu countri,31
behaviour chang,31
smart build,31
peer peer,30
environment friendli,30
develop test,30
social hous,30
climat energi,30
residenti sector,30
electr consumpt,30
relev stakehold,30
industri partner,29
build integr,29
plug play,29
reduct energi,29
public transport,29
energi retrofit,29
knowledg transfer,28
global energi,28
integr energi,28
energi technolog,28
econom environment,28
technolog solut,28
use energi,28
key stakehold,28
small scale,28
demand side,28
pave way,28
local level,28
earli stage,28
climat action,28
solar panel,28
effici measur,28
work programm,27
busi case,27
new energi,27
across eu,27
data analyt,27
cloud base,27
cost save,27
consumpt emiss,27
solar thermal,27
cool system,27
energi renov,27
develop implement,27
power gener,27
insul materi,27
veri low,26
low temperatur,26
qualiti life,26
term energi,26
wastewat treatment,26
polici recommend,26
reduc cost,26
air condit,26
electr heat,26
low power,26
scale demonstr,26
one main,26
water energi,26
develop technolog,26
develop novel,26
thermal storag,26
develop integr,26
region local,26
climat neutral,25
distribut grid,25
develop solut,25
urban plan,25
european commiss,25
innov busi,25
heat exchang,25
decis support,25
effici polici,25
european market,25
energi densiti,25
multi disciplinari,25
energi solut,25
use renew,25
power plant,24
user friendli,24
potenti energi,24
local commun,24
thin film,24
european research,24
reduc emiss,24
solut provid,24
servic provid,24
eu build,24
high effici,24
urban environ,24
chang energi,24
effici use,24
build upon,24
invest energi,24
system oper,24
full scale,24
current avail,24
technic econom,24
commerci build,24
stop shop,24
research commun,23
eu polici,23
open sourc,23
optim energi,23
develop valid,23
system base,23
energi agenc,23
research develop,23
build respons,23
data driven,23
data collect,23
one stop,23
lighthous citi,23
european industri,23
eu member,23
target market,23
power consumpt,23
specif object,23
partner countri,23
cost energi,23
construct industri,23
energi plan,23
solar power,23
energi network,23
posit impact,23
energi water,23
net zero,23
treatment plant,23
integr solut,23
smart home,23
energi relat,22
solut integr,22
new materi,22
industri process,22
decis maker,22
construct sector,22
highli effici,22
digit twin,22
experienc research,22
solut base,22
build district,22
effici invest,22
work packag,22
data centr,22
carbon emiss,22
build perform,22
power grid,22
activ particip,22
district level,22
geotherm energi,22
local region,22
toward energi,22
use build,22
save gwh,21
allow us,21
energi energi,21
social innov,21
consortium partner,21
effici renew,21
real world,21
third parti,21
implement energi,21
manag energi,21
built environ,21
