,tf-idf
renew energi sourc,2.697478284505446
reduc energi consumpt,2.465855353773593
nearli zero energi,2.335225969765961
energi effici build,2.291327598228318
zero energi build,2.0932846509841867
greenhous ga emiss,1.99404672424824
improv energi effici,1.9510301359891977
increas energi effici,1.743645343494455
energi manag system,1.7355223674795535
energi perform build,1.6629544431114551
new busi model,1.4784852036298404
energi effici polici,1.4218743129560503
energi effici measur,1.3845883170222597
energi consumpt emiss,1.2694129645779113
one stop shop,1.2285295805971743
district heat cool,1.1750908167357623
energi effici invest,1.172289153473345
total energi consumpt,1.1668655347348236
innov busi model,1.1600238973662467
eu member state,1.1365798926310828
build energi effici,1.0534057200525864
energi effici renew,1.0268524388322375
perform build direct,0.935808310976448
invest energi effici,0.9332957594427395
earli stage research,0.9332487415606702
energi effici direct,0.9042223655270175
sustain energi climat,0.8845410295427858
low carbon energi,0.8827548654471331
heat cool system,0.8813845285089628
internet thing iot,0.8732318231665434
reduc ghg emiss,0.865175777807932
build energi manag,0.8624974721787253
sustain develop goal,0.8570602094838029
effici renew energi,0.8519347196130809
energi perform contract,0.8420609612467627
low energi consumpt,0.8385239768973571
energi storag system,0.8372957209090339
energi consumpt build,0.8281239590041449
local energi system,0.8129663206308743
reduct energi consumpt,0.8053053175928206
thermal energi storag,0.8049408324151868
energi build nzeb,0.8022642828564314
reduc greenhous ga,0.790562467615817
phase chang materi,0.7847331617247468
use renew energi,0.7838804302230519
wastewat treatment plant,0.7823287589479884
renew energi gener,0.7795170860725136
sustain energi invest,0.7559452693552536
energi save gwh,0.7494560457688482
larg scale pilot,0.7485102664366252
decis make process,0.7408587205005289
share renew energi,0.7404108748710876
effici cost effect,0.7399812790474134
small medium size,0.7359184230739391
primari energi save,0.7314706109560343
deep energi renov,0.7201613539252751
implement sustain energi,0.7167539327484589
net zero energi,0.7089398988121147
reduc environment impact,0.7085444046455074
final energi consumpt,0.7047000126722416
implement energi effici,0.7005593762593696
wast heat recoveri,0.6999459824591703
local energi commun,0.6816250324681
respons energi consumpt,0.6794067356076163
energi effici renov,0.6728169782754801
climat action plan,0.6703234797387636
indoor air qualiti,0.6683091238235205
develop next gener,0.667021894684982
eu build stock,0.6652815113476857
save gwh year,0.6542556755986298
non residenti build,0.6538656575652422
clean energi transit,0.6456593274891304
energi consumpt carbon,0.6443137403520987
sustain busi model,0.6433430265788321
nation region local,0.6431330986667778
energi effici improv,0.6406735074063948
renew energi system,0.6401631819606326
energi effici ee,0.6364847400772854
consumpt emiss eu,0.6323369430828627
beyond state art,0.6321641652415665
build respons energi,0.632052627813835
larg scale demonstr,0.6284094892697535
sustain energi plan,0.6253221734889126
peer peer learn,0.6238430266778882
whole valu chain,0.6146776228144191
creat new job,0.6108499198021651
increas share renew,0.6077285594155956
energi cost effici,0.6062071242372479
renew energi energi,0.6027875878753536
build inform model,0.5998590465919466
toward low carbon,0.5975633499605262
novel busi model,0.5946547741710313
integr renew energi,0.5935998948539475
renew energi technolog,0.592660761589625
improv qualiti life,0.5925892445051691
reduct greenhous ga,0.5920302465454446
energi valu chain,0.5917755472229356
renew energi product,0.5913900268013077
high perform comput,0.5903569137306383
lower energi consumpt,0.5895828222705908
life cycl assess,0.5852263888082151
climat chang mitig,0.5795053734951293
energi save build,0.576047506960381
heat cool network,0.5755910463413971
climat chang impact,0.5706578184610512
toward energi effici,0.5649999711377427
smart energi system,0.5554677878777741
sustain energi polici,0.5527726317815261
energi poor household,0.551155475762554
long term sustain,0.5506685200142665
energi climat action,0.5500281981179659
increas energi demand,0.5499314682685859
potenti energi save,0.5478951962392062
multi level govern,0.5456427521702852
climat chang energi,0.5450869827400524
energi energi effici,0.5447838211163515
residenti non residenti,0.5401572599276235
european green deal,0.5347775132388679
life cycl cost,0.5294562991824531
mitig climat chang,0.5282116420583193
big data analyt,0.5276352188441278
near zero energi,0.5253058719092327
distribut system oper,0.5242844237745558
ultra low power,0.5185779571181973
build energi perform,0.5179580572428488
energi consumpt increas,0.5166044661698774
smart grid technolog,0.512879634138537
cost effect solut,0.5117461838040595
academ non academ,0.5104179302060815
energi effici retrofit,0.5074020762962218
reduc energi cost,0.5026512599598081
primari energi consumpt,0.5018973464697432
key perform indic,0.5009163565051966
capac build activ,0.4987189147943939
chang materi pcm,0.4976611251641482
european build stock,0.4949652495447723
global energi consumpt,0.49490386664329095
cost effect energi,0.49233880363839233
energi servic compani,0.49232925938945954
payback period year,0.49211908193937576
energi consumpt europ,0.4913069922520551
new energi effici,0.4908209032253127
smart energi manag,0.4902194452120175
secur clean effici,0.49005118687275395
consumpt carbon footprint,0.4894843682672359
smart citi smart,0.4881262957994052
phase sme instrument,0.48783775765567283
play import role,0.4877743062318074
term energi effici,0.48732110228725434
li ion batteri,0.4852250901860204
energi gener storag,0.48509772458715616
energi effici solut,0.48442332247940767
larg scale deploy,0.4843918823724092
build district level,0.48434990017496304
entir valu chain,0.48425473362521565
earth system model,0.48386655412280377
heat cool build,0.48281323295733414
support decis make,0.4818902011559125
socio econom impact,0.48137164715517716
develop busi model,0.4777950096200193
demand side manag,0.47642167575342176
social hous sector,0.4749354977334588
decis support tool,0.47424315410860407
energi save potenti,0.4719592377940435
region local author,0.471880918254179
impact climat chang,0.47081163288113226
thermal insul materi,0.4683581575354272
busi model enabl,0.45970335500356735
energi perform certif,0.4578024090680085
posit energi district,0.4565397320100498
energi manag solut,0.4559650237099554
european research night,0.4541390019180666
build nearli zero,0.45203006655389283
energi effici technolog,0.45090935765947454
build integr photovolta,0.45075185201085266
food energi water,0.4502932305666214
variabl renew energi,0.4492272992313665
energi climat polici,0.4485917604777097
renov exist build,0.4484573935013046
integr sustain energi,0.44834967466865283
green digit charter,0.4460297912427665
energi use build,0.443655793173087
energi manag platform,0.4429301649442065
perform contract epc,0.4428796820609031
renew energi resourc,0.44198205369175264
european union eu,0.441791342584074
indoor environment qualiti,0.44051732270335675
urban peri urban,0.4396988587725525
ghg emiss reduct,0.43945951046762827
clean effici energi,0.4389584221323508
research innov activ,0.4386279367457313
current state art,0.43724532766057367
select stabl electrocatalyst,0.4368839811002016
reliabl energi effici,0.4363629395054105
build energi consumpt,0.435955494531995
fight climat chang,0.4357319956439714
eu green deal,0.434981326239438
effici low cost,0.4349771925893176
play key role,0.4336595933663917
web base platform,0.4329480872034086
high energi densiti,0.43283288913261614
suppli demand side,0.4325113171578624
low carbon technolog,0.43224231966137533
futur energi system,0.4321804472613832
energi cost save,0.43209147000492876
adapt climat chang,0.43167207995563606
energi effici target,0.43125497395090395
residenti build stock,0.4305056925719693
decreas energi consumpt,0.4298102885657956
ga ghg emiss,0.4289496258866862
greenhous ga ghg,0.4281454114368313
citi across europ,0.42729187759223103
pave way toward,0.42686371117452643
full scale demonstr,0.4263326338316725
energi climat target,0.4246491532913955
increas renew energi,0.42446082360430015
advanc state art,0.42405562501822136
busi model base,0.4229204237921584
total cost ownership,0.4228262799137088
improv air qualiti,0.42068943590132146
wast water treatment,0.4172425120962425
energi resourc effici,0.4156425712754199
build renov passport,0.4152566089509133
monitor energi consumpt,0.4138390962162791
research innov agenda,0.41368508265104914
new societ trend,0.41034338025961326
energi non energi,0.40909613537359657
structur non structur,0.4070667842800102
energi effici mortgag,0.40643776473006554
digitalis daili life,0.40441027216492004
energi effici behaviour,0.403515156530245
energi effici intervent,0.40325970977345976
harvest solar energi,0.4025384869869566
innov sustain energi,0.40101018037470115
electr public transport,0.39972895761667926
smart citi commun,0.3992404444800787
build energi system,0.39919390804622645
water energi nexu,0.398462105101147
region local level,0.3982823917822279
local energi gener,0.39748648989568747
viabl busi model,0.3971234062706921
energi effici light,0.39599532225169876
integr photovolta bipv,0.39587861481380776
target energi effici,0.39572310446831827
carbon dioxid emiss,0.3938630999833139
relat energi effici,0.39386026590787276
adopt energi effici,0.39342453830628954
eu total energi,0.39296142816729296
smart mobil smart,0.39197581795891284
virtual energi commun,0.3918155341321627
key enabl technolog,0.39002654213829857
build direct epbd,0.38952521558412745
tackl energi poverti,0.3893684541100608
stage research esr,0.3885012089287179
district heat network,0.38828447999063836
eu energi consumpt,0.3882257357767344
temperatur district heat,0.38792995104224387
high energi effici,0.38728499704009806
energi perform assess,0.386962540381545
smart grid solut,0.38679138349930675
energi consumpt greenhous,0.3861590036022098
smart meter data,0.3858904497417095
smart energi effici,0.38528262602538443
renew energi direct,0.38492959302167185
local public author,0.38479107738561397
intern energi agenc,0.3847543153890424
includ renew energi,0.38346836493093484
main object develop,0.3833241071027483
depend fossil fuel,0.3829311470550736
strateg energi technolog,0.38262395571531305
eu climat energi,0.38257538830745524
eu energi effici,0.3821554257151107
energi effici product,0.38199406514365497
energi effici energi,0.3816978852976342
energi consumpt eu,0.3810000058731743
reduc carbon emiss,0.3803408391124421
energi sourc build,0.3802577658682624
sustain energi system,0.3799401733410481
fossil fuel base,0.379867011143771
nation eu level,0.37892711692373404
short long term,0.3780365823182304
real time data,0.37800854979796067
optim energi consumpt,0.3779657999821163
local region nation,0.3778182874208139
nation european level,0.377800069062328
make energi effici,0.37769321190678357
medium size municip,0.37759863077318045
meet eu climat,0.37736580667359
exist build stock,0.3761447164555396
econom environment benefit,0.375566589685053
real life condit,0.375300876294829
improv energi perform,0.37508569191973484
cost energi consumpt,0.3750261605105786
build life cycl,0.3740366514889719
artifici intellig ai,0.3738223285568968
renew wast heat,0.3736490088913548
differ european climat,0.3734459749065594
low cost low,0.3728050264208304
air condit system,0.37232118294805805
entir life cycl,0.3709155853858656
