,term_treq
energi,5163
build,2291
develop,1895
system,1629
technolog,1407
effici,1364
use,1331
market,1109
solut,1104
innov,1083
new,1064
research,970
integr,944
smart,910
base,855
eu,834
cost,830
product,808
provid,802
commun,801
heat,787
industri,773
model,765
data,745
european,738
process,724
design,724
increas,692
high,684
climat,681
sustain,677
support,673
manag,663
gener,636
materi,630
electr,613
power,608
citi,607
perform,599
consumpt,597
implement,584
need,582
servic,572
network,570
demonstr,569
oper,556
level,553
improv,546
reduc,545
user,542
activ,536
impact,532
sector,531
europ,531
applic,529
approach,523
low,521
busi,517
includ,516
chang,513
potenti,512
enabl,512
also,506
differ,505
polici,501
local,500
object,495
renew,492
well,484
plan,479
tool,475
water,475
requir,469
scale,464
demand,461
current,458
challeng,455
result,455
time,452
effect,450
urban,448
exist,436
control,435
make,428
propos,427
stakehold,424
target,419
public,409
year,404
emiss,403
grid,403
combin,394
save,388
storag,382
creat,377
key,375
invest,374
econom,373
allow,369
larg,368
one,367
address,367
area,367
work,367
environment,367
platform,361
optim,359
contribut,354
thermal,350
advanc,349
strategi,348
solar,341
futur,337
consum,335
concept,335
renov,333
end,330
global,329
construct,328
region,328
knowledg,327
sourc,325
environ,323
partner,322
train,322
structur,322
resourc,316
action,315
set,312
countri,311
reduct,310
carbon,309
valu,308
social,305
main,304
within,298
novel,297
devic,297
assess,296
test,294
infrastructur,291
studi,291
compani,291
exploit,288
commerci,286
term,285
lead,285
technic,284
benefit,284
specif,284
toward,283
offer,283
qualiti,281
framework,281
two,280
capac,280
real,273
valid,272
flexibl,272
inform,272
practic,271
enhanc,269
involv,266
mobil,265
way,261
produc,261
transport,260
instal,259
monitor,256
relat,256
order,255
wast,254
cool,252
field,252
across,251
ensur,249
deploy,248
transit,247
nation,246
measur,245
open,243
condit,243
multi,241
pilot,241
first,241
opportun,238
secur,237
consortium,237
distribut,236
avail,234
manufactur,233
goal,231
life,230
bring,229
financi,229
suppli,228
non,227
connect,225
state,224
initi,222
three,221
fuel,221
addit,221
thu,220
case,220
light,220
compon,219
due,219
reach,219
establish,218
deliv,216
replic,214
intern,214
adapt,213
direct,212
understand,211
green,210
expect,210
sme,209
method,209
access,209
engag,209
standard,208
share,207
vehicl,207
financ,207
posit,206
engin,204
hous,204
function,204
citizen,202
experi,201
analysi,199
air,199
major,198
batteri,197
residenti,197
relev,197
phase,196
promot,195
howev,194
rang,192
respons,191
chain,191
wide,190
long,190
togeth,190
appli,189
comput,187
onli,186
becom,186
import,185
overal,184
repres,183
iot,183
dissemin,183
facilit,181
learn,181
dure,180
decis,180
particip,179
veri,179
programm,178
health,176
focu,176
scientif,176
problem,175
retrofit,175
capabl,174
natur,174
reliabl,173
complex,171
identifi,171
follow,171
custom,171
organ,170
scienc,170
sensor,169
district,168
unit,168
plant,168
ga,167
intellig,166
transform,164
signific,164
highli,164
institut,164
methodolog,163
total,163
insul,163
interact,161
competit,161
success,161
limit,161
risk,160
collabor,159
skill,158
dynam,158
evalu,157
site,156
food,156
ict,156
least,156
zero,156
live,156
self,155
part,155
pv,154
world,154
help,154
author,153
architectur,153
digit,152
final,152
million,152
mani,152
scheme,152
mechan,151
group,151
best,150
growth,149
barrier,148
behaviour,148
privat,147
focus,146
cycl,146
start,145
feasibl,145
sever,145
util,144
municip,144
small,143
associ,142
possibl,142
societi,141
transfer,141
equip,140
meet,140
compar,139
grow,139
therefor,138
ecosystem,138
household,138
home,137
wind,137
temperatur,136
economi,136
context,135
charg,135
uniqu,134
better,134
fund,134
adopt,134
space,134
emerg,133
collect,133
beyond,133
full,132
simul,132
cooper,132
expertis,132
