,acronym,title,id,objective,startDate,endDate,durationM,status,ecMaxContribution,totalCost,energy_in_obj,energy_in_title,matches_keywords_in_objective,count_keywords_mathes
58,MiniStor,Minimal Size Thermal and Electrical Energy Storage System for In-Situ Residential Installation,869821,"The EU building stock has large potential to increase its energy efficiency with solutions that can be integrated to existing dwellings and through different measures. One of them is optimizing the use and management of thermal energy by allowing it to be stored, levelling demand peaks and increasing use of renewables affected by intermittency such as solar-based heating. The MiniStor project aims at designing and producing a novel compact integrated thermal storage system for achieving sustainable heating, cooling and electricity storage that can be adapted to existing systems in residential buildings. It is based on a high-performing CaCl2/NH3 (calcium chloride/ammonia) thermochemical material reaction combined with parallel hot and cold phase-change materials for flexibility and usage year-round. It also stores electrical energy in a Li-ion battery that responds to grid signals and can sell to the electrical grid. The system is managed by a smart Building Energy Management System that connects to the Internet of Things. The system can have as input energy obtained from a variety of renewable energy sources such as hybrid photovoltaic thermal panels. This arrangement is demonstrated and validated in four demonstration sites (Ireland, France, Greece and Hungary), testing its effectiveness at different local climatic conditions and facilitating market replication. The system provides stability, performance and use of at least 20 years, an estimated compact storage material volume of 0.72 m3, reduced net energy consumption in a building by at least 44% and a return-on-investment period of 6.7 years, using high energy density storage materials that reach storage densities up to 10.6 times higher than water.",2019-11-01,2024-04-30,54.0,SIGNED,7537745.07,8532202.24,['energy'],['energy'],"['building', 'energy consumption', 'smart', 'buildings']",4
62,TETRAMAX,TEchnology TRAnsfer via Multinational Application eXperiments,761349,"The major objective of TETRAMAX is to provide an implementation of the European “Smart Anything Everywhere (SAE)” initiative in the domain of customized low energy computing (CLEC) for CPS and the IoT. The project builds on three major activity lines: (1) Stimulating, organizing, co-funding, and evaluating different types of cross-border Application Experiments, providing “EU added value” via innovative CLEC technologies to first-time users and broad markets in European ICT-related industries, (2) Building and leveraging a new European CLEC competence center network, offering technology brokerage, one-stop shop assistance and CLEC training to SMEs and mid-caps, and with a clear evolution path towards new regional digital innovation hubs where needed, and (3) Paving the way towards self-sustainability based on pragmatic and customized long-term business plans. The project impact will be measured based on well-defined, goal-oriented performance indicators. The immediate ambition of TETRAMAX within its duration is to support 50+ industry clients and 3rd parties in the entire EU with innovative technologies, leading to an estimated revenue increase of 25 Mio. € based on 50+ new or improved CLEC-based products, 10+ entirely new businesses/SMEs initiated, as well as 30+ new permanent jobs and significant cost and energy savings in product manufacturing. Moreover, in the long term, TETRAMAX will be the trailblazer towards a reinforced, profitable, and sustainable ecosystem infrastructure, providing CLEC competence, services and a continuous innovation stream at European scale, yet with strong regional presence as preferred by SMEs.",2017-09-01,2021-12-31,52.0,SIGNED,6997273.75,7196131.73,['energy'],,"['building', 'smart']",2
135,NATCONSUMERS,NATural Language Energy for Promoting CONSUMER Sustainable Behaviour,657672,"Residential energy consumption represents the 28% of all EU consumption and if commercial buildings are also considered this percentage increases to 40% (36% of EU CO2 emissions). In this context, is clear that the reduction of consumption in the residential sector should play an important role in energy efficiency programmes and policies as is stated in the recent Energy Efficiency Directive 2012/27/EU.Most energy efficiency measures implemented in Europe involved technological interventions. In contrast, everyday energy-consuming behaviours are largely habitual and therefore the potential of energy savings at home with actions focused in consumer behaviour is really promising. In this context the provision of feedback to consumers has resulted in really promising results, achieving savings in the range of 5-20%. But some limitations exists. The aim of this project is to fill the gaps and advanced in this context, being an essential preparatory activity for the future large scale demonstration of feedback methodologies.The key aim of this project is to develop an advanced and integral user-centred framework for the implementation of efficient energy feedback programmes in the domestic area. Our approach relies in the complete characterisation of the EU energy consumer, and the design of specific personalised actions tailored to each consumer pattern detected based on the use of natural language and emotional contents. NATCONSUMERS will set the scenario to allow strengthening the dialogue between the EU energy system stakeholders in order to define robustness methodologies exploiting to the maximum the potential of energy feedback approaches, filling the existing gaps not still covered by previous pilots and experiments.NATCONSUMERS consortium brings together representatives of all stakeholders and areas involved in the project. A concise dissemination and awareness programme is proposed to reach the target communities and increase the impact of the project.",2015-05-01,2017-06-30,26.0,CLOSED,2032528.75,2048278.75,['energy'],['energy'],"['energy consumption', 'communities', 'buildings']",3
228,EOLI FPS,Roof top wind turbine for urban areas,816706,"High electricity prices and the lowering costs of renewable technologies and energy storage are leading European energy consumers towards a distributed generation and self-consumption model. Electricity consumers are progressively turning into prosumers (producers & consumers) who decide at a given moment whether to buy electricity from the grid, to self-consume or even to export it to the grid. Moreover, European energy regulations require EU consumers to commit to clean and energy efficient objectives. For instance, the Energy Performance of Buildings Directive requires all new buildings to be nearly zero-energy (NZEB) by the end of 2020 by reducing energy consumption and using renewable sources and all new public buildings to be NZEB by 2018. The most extended renewable energy in the world is wind power. However, wind power is not very common in urban areas where high speed laminar wind turns into a low speed turbulent one due to the existence of obstacles (buildings, houses, trees, structures, etc.). Traditional wind power turbines are not designed to work with low speed wind (2 m/s – 6m/s) and turbulent wind flows. Besides, traditional SWTs entail other serious problems such as the hazard of rotating machinery, vibrations, noise, the possibility of collapse atop buildings, blade shedding and visual impact. EOLI FPS is a patented rooftop vertical axis wind turbine (VAWT) specifically designed to work under low speed and turbulent wind profiles such as the existing in urban environments. EOLIS FPS works perfectly with horizontal laminar wind but also take advantage of turbulent flows that adversely affect traditional wind turbines. Its internal rotor design facilitates the creation of vortexes out of the wind turbulence that drastically increases the driving force of the laminar wind. Besides EOLI FPS is safe, noiseless, does not vibrate and integrates aesthetically in the urban landscape.",2018-05-01,2018-08-31,4.0,CLOSED,50000.0,71429.0,['energy'],,"['energy consumption', 'nzeb', 'urban', 'buildings']",4
325,mySMARTLife,Smart Transition of EU cities towards a new concept of smart Life and Economy,731297,"mySMARTLife project aims at the development of an Urban Transformation Strategy to support cities in the definition of transition models, as a suitable path to reach high level of excellence in its development process, addressing the main city challenges and progressing to the smart people and smart economy concepts.The main instrument to achieve this very ambitious strategy will be the definition of the Advanced Urban Planning, consisting of an integrated approach of the planned city interventions on the basis of a rigorous impact assessment, an active citizen engagement in the decision-making process and a structured business approach, from the city business model perspective, to the economic framework for big companies and local SMEs and Start-Ups.Nantes (France), Hamburg (Germany) and Helsinki (Finland) are the lighthouse cities and Varna (Bulgaria), Bydgoszcz (Poland), Rijeka (Croatia) and Palencia (Spain) the followers. All of them will be involved in the overall project development assuming different and complementary roles. Energy and Climate mitigation plans in the lighthouse cities are completely compliant with the objectives of Covenant of Mayors initiative, as it is reflected; first regarding the early participation of the cities in Covenant of Mayors and second, considering the ambition of their SEAPs, that were submitted, evaluated, approved and are monitored by Covenant of Mayors. Aligned with these objectives, the commitment of the lighthouses is the deployment of a big set of large scale interventions and at least two years of data collection to make a depth analysis of the results, calculating standard KPIs, evaluating the associated impacts and disseminating the results. Followers will be very close to this demonstration, collaborating in the definition and deployment, analysing the problem from the point of view of their own city challenges and extracting knowledge, best practices and lessons learnt for a further replication.",2016-12-01,2021-11-30,60.0,SIGNED,18656102.41,21191771.5,['energy'],,"['urban', 'cities', 'smart', 'city', 'climate']",5
361,Acoutect,A sound fundament for our future buildings,721536,"To ensure a healthy environment for people living and working in buildings, research and engineering in the area of building acoustics is essential. Developments in modern building concepts, such as sustainable low-energy consuming buildings, buildings with lightweight materials and open plan working environments, as well as the need to build in extremely noisy areas, require involvement of acoustic experts in order to successfully (re)design buildings without negatively impacting upon people’s health and well-being. Taking up current and future acoustic challenges requires innovative solutions based on a thorough understanding and mastering of modern methods and tools, as well as a holistic acoustic approach involving acoustic design, products and subjective evaluation. However, in the complex field of building acoustics, research activities typically are not holistic and have become slightly marginalised. As a consequence, there is a lack of building acoustics experts.To meet the future acoustic needs of the built environment, Acoutect is constructed around two objectives: 1) Establish a long-lasting European-wide training programme on building acoustics, 2) Launch an innovative research programme. With these objectives, Acoutect will equip ESRs with skills to ensure acoustic quality of modern and future building concepts, and with excellent perspectives for a career in industry or academia within the area of building acoustics. The training and supervision to reach these objectives is offered by the Acoutect consortium composed of 5 academic and 7 non-academic participants. This consortium comprises various disciplines and sectors within building acoustics and beyond, promoting intersectoral, interdisciplinary and innovative training and mobility of the researchers within the project.",2017-01-01,2020-12-31,48.0,CLOSED,3906158.56,3906158.56,['energy'],,"['building', 'buildings']",2
428,ENLIGHT RISE,RESEARCH AND INNOVATION AGENDA WITH AND FOR SOCIETY: Leveraging digital innovation for a greener and healthier Europe,101035819,"ENLIGHT is a European university Network to promote equitable quality of Life, sustainability and global engagement through Higher education Transformation. It brings together 9 comprehensive, research-intensive, new flagship universities with a strong reputation. ENLIGHT strives to transform the way in which we address global societal challenges by developing new models and methodologies for education and research adapted to the complex sustainability issues facing cities and communities today.; ENLIGHT focuses on five flagship challenges: Health & Well-being, Climate change, Energy & Circular Economy, Digital Revolution and Equity. With ENLIGHT RISE (Research and Innovation agenda with and for SociEty) we will support ENLIGHT in its R&I dimension, to deploy a comprehensive joint transformation agenda, in synergy with the educational component, in partnership with surrounding ecosystems, and with the overarching goal of serving our societal missions. The objective is to become more competitive and innovative together, leveraging and synergizing our respective strengths and capitalizing on our innovation potential and partnerships with our surrounding ecosystems to jointly promote a greener, healthier, more equitable and sustainable Europe.  To reach these goals, ENLIGHT RISE will 1- establish a longer term business model for joint R&I actions, 2- identify strong research synergies with high innovation potential 3- enable the sharing of and optimize capacity or  digital research infrastructures, while benchmarking and optimizing the societal impact of digital innovation/artificial intelligence, 4- reinforce cooperation and co-creation with the business sector and civil-society, 5- mainstream and incentivize open science practices and public engagement, 6- improve the attractiveness of researchers’ careers, and 7- develop and formalize methods towards an impact-driven R&I agenda.",2021-09-01,2024-08-31,36.0,SIGNED,2487073.75,0.0,['energy'],,"['communities', 'climate', 'cities']",3
432,ComBioTES,Compact bio-based thermal energy storage for buildings,864496,"Thermal end-uses (space heating, hot tap water, cooling) represent a major part of electricity consumption in Europe and cause consumption peaks, often when electricity is expensive.Hot tap water is the only thermal end-use provided as a base load over a year and that is stored. Space heating and air conditioning are seasonal thermal end-uses with a high residential electricity consumption. They are not stored at the buildings scale to allow peak shaving of the residential electricity consumption. These statements show the interest to develop appropriate thermal energy storages, suitable for buildings, to reduce the electricity bill of end-users. ComBioTES will thus develop a modular compact thermal energy storage (TES) solution for heating, hot tap water and cooling fully adapted for electricity load shifting.A first modular TES will be able to store hot tap water to be converted into ice storage during summer (cooling needs). A second compact latent TES, using high performances (ΔH≈260kJ/kg) bio-based non-aggressive PCM, will store high heating energy amount, for space heating or hot tap water demands. As thermal end-uses in buildings are different regarding seasonal needs, this concept combines the advantage of a modular TES (high utilization rate) with the high volumetric energy density of a latent TES using a bio-based PCM (high compactness: ≥ 100kWh/m3 ΔT=50°C).The ComBioTES consortium and associated External Advisory Board (Idex, Danfoss and Passive House) involve all relevant key players in energy storage and management: RTOs for development and testing infrastructure and SMEs for manufacturing & commercialization of the technology, and representative of potential customers and end users (building owners &operators). In line with IC7, two partners from CHINA (The Institute of Electrical Engineering of the Chinese Academy of Sciences, and The Henan Province GuoanHeating Equipment Co., LTD)  will promote the ComBioTES concept in this country.",2019-11-01,2023-10-31,48.0,SIGNED,3999128.75,4193978.75,['energy'],['energy'],"['building', 'buildings']",2
441,E-DYCE,Energy flexible DYnamic building CErtification,893945,"Current steady-state energy labels have several shortcomings, but the inherent inability to accurately reflect dynamic and changing conditions is the most impactful one. Steady-state labels result in high discrepancies with post occupancy behaviour - performance gap. This inaccuracy does not allow the building owner to make informed decisions on time, and restricts the potential of economical exploitation of the building. E-DYCE will combine innovative approaches with established and widely available tools to create a methodology capable of implementing scalable and adaptable dynamic energy performance certification (DEPC):- Create a technology neutral methodology for dynamic labelling based on maximizing the free running potential of the building and promoting the use of passive and low cost solutions (e.g. ventilative cooling) instead of constant reliance on mechanical systems. - Communicate clear actions to the user, as well as their positive effects on the energy consumption to motivate and improve energy behavior. - Validate the methodology through implementing DEPC in 39 buildings across 5 locations in 4 countries for a total of 60,000m2 heated area.- Generate energy savings of 1.8 GWh/year, from the first year and aiming to exceed 370GWh and 50million euros in savings by 2028, accounting only for the areas participating in the project.- Strengthen collaboration between energy experts, authorities and building owners to share the benefits of reliable dynamic certification.- Adapt to any level of building typology, climate, smartness and scale through dynamic simulation of performance utilizing resolutions from real time, to minutes, hours or days: from traditional buildings to smart-homes.E-DYCE will be compatible to existing and emerging EPC methods, or can function as a stand-alone DEPC labelling process. The process will not require investment for the user, instead depending on sharing the savings for revenue streams.",2020-09-01,2023-08-31,36.0,SIGNED,2498177.5,2936065.0,['energy'],['energy'],"['positive', 'building', 'energy consumption', 'smart', 'climate', 'buildings']",6
443,EnergyMEASURES,Tailored measures supporting energy vulnerable households,894759,"Between 50 and 125 million people are at risk of energy poverty in the EU. Efforts to address this issue will require a suite of measures informed by participatory and inclusive approaches. EnergyMEASURES will work to address energy poverty in seven European countries (BE, BG, IE, MK, NL, PL, UK) through two complementary and synergistic strands of work. Namely, through direct household engagements that are complemented and informed by cutting edge policy and practice innovations. The first strand will involve working with energy poor households to improve their energy efficiency through a combination of low-cost measures, and changes in their energy-related behaviours and practices. EnergyMEASURES will map out key indicators characterising those most at-risk of energy poverty, and will leverage partners’ ongoing projects and use their existing relationships with energy poor and at-risk households to recruit them for the household energy engagement programmes. Recruited householders will be provided with low-cost energy measures and empowered to change their energy-related behaviours and practices through an approach that is cognisant of existing housing conditions and is reflective of the lived experience of householders. The second strand will comprise working with municipalities, energy authorities, housing associations and other relevant actors to assess how current multi-level institutional contexts affect efforts to alleviate energy vulnerability in the participating countries. These interlinked activities will also consider gender differentials in both people’s relationship with institutional actors and their lived experience of energy, and EnergyMEASURES will work to mainstream this approach across the wider energy poverty community. Through this work the project contributes to reducing participants’ vulnerability to energy poverty, while at the same time cutting household energy consumption and associated GHG emissions.",2020-09-01,2024-02-29,42.0,SIGNED,1995575.0,1995575.0,['energy'],['energy'],"['energy consumption', 'housing', 'community']",3
