,tf-idf
energi,76.73268724562692
build,50.70408172197565
system,38.00732661031369
develop,35.36127703267928
technolog,32.20005244246788
effici,31.30005384787187
market,29.281018395591673
heat,29.073367442581695
solut,28.915342910873893
use,28.80409026324834
research,28.530388474218338
smart,27.2829217064369
innov,26.352454236704972
data,25.257984982074117
new,25.060599547215077
integr,24.99879429585915
eu,24.02382043092007
model,23.303791234303215
citi,23.183365400654843
commun,23.130299007956488
product,23.12549149939502
cost,23.034161741116467
industri,22.917377246011654
materi,21.966262912085266
base,21.966083135709326
electr,21.64162676921239
manag,21.6412284972858
process,21.572382205027953
design,21.19819197901918
power,21.0215993711657
climat,20.89713080900462
provid,20.811260881487637
european,20.800371038178962
servic,20.30274776071585
network,20.075751400260863
sustain,20.069548141706846
support,19.579751307543948
water,19.5460520462394
high,19.53411776255983
consumpt,19.1771652673831
increas,19.157045242128696
polici,19.076880381319985
local,18.940986731174366
perform,18.86726780988517
user,18.746869973399267
demonstr,18.313974062891315
gener,18.30568445347779
implement,18.28687420984139
level,18.12941311221108
sector,17.89626270288906
grid,17.843005690813072
oper,17.826412518426615
urban,17.585456676237726
renew,17.475187016295425
need,17.279037523618026
busi,17.262957848138353
activ,17.065464839555975
plan,17.024074686025898
applic,16.87274072980082
low,16.81196214064359
improv,16.810418799463594
tool,16.806498229242017
reduc,16.722801345925443
renov,16.71116728283201
chang,16.617256025948134
enabl,16.471287393858628
europ,16.449341340661658
approach,16.39417449360239
demand,16.3788688332388
differ,16.33319611295597
control,16.29271390050519
storag,16.072455938915134
impact,16.04948604825922
includ,16.00340505183171
potenti,15.687742200760853
well,15.660667618509542
public,15.625845694915675
object,15.603221642017038
solar,15.488956317573018
also,15.445623520743629
stakehold,15.277950425735249
challeng,15.255803329870421
invest,15.075325946107023
scale,15.066653499868853
effect,15.009835306861405
exist,14.945565164238502
time,14.866012501227008
thermal,14.843105861891441
requir,14.758746196519207
emiss,14.663923870748567
platform,14.57605079219985
result,14.503894309829597
current,14.49236581400809
year,14.407487327457558
save,14.373757885614037
propos,14.362751696824144
construct,14.308026564997649
make,14.20298189168847
target,14.030735891598338
consum,13.983359764181401
region,13.932544708372577
optim,13.872149046763544
econom,13.459995397964567
train,13.411963057274821
creat,13.258119035290495
area,13.241087440273823
combin,13.16421173925283
work,13.030944158276375
environment,12.94237005515294
structur,12.934782766835587
allow,12.929777657289094
key,12.91619890087655
devic,12.827822148166474
larg,12.770211198875513
one,12.767172766912363
strategi,12.711623856656166
end,12.698133740280122
advanc,12.618689929800034
countri,12.567471002175434
action,12.535729669467482
address,12.482172108828143
infrastructur,12.466401673352488
social,12.449766342134538
concept,12.430997784485013
partner,12.41279163070943
reduct,12.407784231736636
global,12.341839172951005
knowledg,12.312152713767762
resourc,12.289714665025441
contribut,12.244599351916706
cool,12.244419141216072
flexibl,12.200208543097522
futur,12.125884936479254
sourc,12.078710114813028
carbon,11.93158182897586
set,11.920759722014417
compani,11.801017391813101
environ,11.752459665005652
framework,11.669666371778597
valu,11.660151924660779
mobil,11.60157482401832
test,11.541816935899387
technic,11.409221849198916
wast,11.377427481849315
instal,11.349203552141647
within,11.337257706732798
qualiti,11.333017393140112
capac,11.331754482450249
commerci,11.32470434324377
assess,11.306387577510415
offer,11.265512619684547
specif,11.1720386827334
transport,11.168090543192031
real,11.040149110055795
novel,11.014126026746142
inform,10.975060479374292
studi,10.969729662851796
main,10.947937619125122
enhanc,10.930732907273216
exploit,10.91277488540521
transit,10.865896435569406
toward,10.847252772768208
monitor,10.825240084654615
valid,10.824864929968278
practic,10.78954275583078
term,10.749300435594439
measur,10.676822080567597
financi,10.580649911525553
distribut,10.540040288995487
involv,10.514391867893824
nation,10.49975766669035
two,10.493128945383098
deploy,10.469527055715185
order,10.457053908108813
benefit,10.446927683304429
lead,10.4283683186727
financ,10.40562392928512
light,10.357736240151318
pilot,10.34426174391038
across,10.325253193898646
hous,10.315840579872296
multi,10.289332971643505
ensur,10.23190207769917
secur,10.218984866333583
vehicl,10.164071213809256
way,10.161667240022123
relat,10.11005455204757
produc,10.069949750381573
open,10.05159841676181
consortium,10.029184309907283
batteri,10.029057368653092
manufactur,9.992778891508282
replic,9.962318674683065
condit,9.941356525411324
connect,9.918264627883746
citizen,9.890431969761833
fuel,9.846005338770741
retrofit,9.804313964940219
opportun,9.780482372730454
green,9.772821367981335
compon,9.763076667596453
avail,9.668011939321259
residenti,9.631540066584579
field,9.587730017155787
initi,9.520600546052684
suppli,9.501646577721655
engag,9.417473892809655
life,9.37014519196425
comput,9.354543812435349
iot,9.316867104497724
first,9.31584153051878
goal,9.285291396440021
case,9.278153688179206
sme,9.273504387983879
three,9.271952379052673
deliv,9.263863968302708
access,9.260427827721529
direct,9.17285818650962
non,9.170263173018405
intern,9.106885369887808
district,9.106354030649294
standard,9.080078227100312
bring,9.046056445707382
adapt,9.038828534006171
air,9.000178321272973
phase,8.974795693127751
share,8.969734591208004
understand,8.969004364993546
state,8.957580150297611
reach,8.932279918285882
method,8.911784700105251
engin,8.90664043284116
addit,8.86036411731288
learn,8.834309803591294
expect,8.812151079287034
insul,8.782742912758813
establish,8.77901229456975
due,8.774603736662794
analysi,8.767854253731137
experi,8.639208857846391
respons,8.597203507244458
thu,8.587860149928165
posit,8.570621601663545
relev,8.533050247797139
sensor,8.510392477792488
function,8.50028374653421
chain,8.477319652998645
rang,8.427309768837054
plant,8.418653564704456
decis,8.395369098768741
pv,8.394567527344632
wide,8.369424497667893
promot,8.349831221633146
particip,8.310928960895069
programm,8.271856154730175
facilit,8.194089448589786
behaviour,8.13957329947614
ict,8.106078171664294
problem,8.100344204684387
intellig,8.071009320417506
custom,8.068189623482429
togeth,8.05928508790161
dissemin,8.042094285102785
scienc,8.039823226488577
scientif,8.016479909115116
major,8.015319766167796
long,7.994853200276994
methodolog,7.989566962713885
overal,7.984911848085912
capabl,7.978258331641757
becom,7.941626512428339
repres,7.935037368927434
appli,7.923623004141863
skill,7.889646238038819
health,7.886639710214755
howev,7.882701975433764
municip,7.880721983590707
natur,7.877423196562915
household,7.870328219724355
onli,7.850034203211557
unit,7.836428514060785
complex,7.831732605754006
ga,7.8235527440269514
import,7.815832607433842
scheme,7.813890187496499
focu,7.808861955625076
organ,7.766330652924107
author,7.76301187930538
zero,7.75457994955553
veri,7.721489207397861
identifi,7.707265784960829
site,7.695679633142599
total,7.689538177878381
transform,7.683211495316751
dure,7.6656765314327435
risk,7.650321837548155
reliabl,7.621243157829147
institut,7.618763035684585
follow,7.595698460540307
home,7.583788071043941
digit,7.569575464451978
wind,7.540425102407434
self,7.534305903818322
food,7.48861351411542
dynam,7.469886314634932
least,7.4487251021071526
signific,7.3975263107057
interact,7.395495789056233
highli,7.379772086466892
architectur,7.34357852108803
charg,7.3315512233047775
privat,7.293391264600175
collabor,7.2671942177691555
live,7.260615627525536
million,7.234975916814643
evalu,7.197900472833473
help,7.156793799438855
limit,7.1457223175284454
success,7.14124519789934
util,7.1237547636393534
competit,7.101780206047412
best,7.080528735910774
barrier,7.072074174198692
small,7.058195117893692
world,7.007845700877828
group,7.00255962832904
feasibl,6.99553978322617
equip,6.982802059969457
growth,6.960902875608446
harvest,6.944102089888471
window,6.894242908507531
part,6.869990928003103
final,6.842050986898998
cycl,6.829239174635729
associ,6.821047442899938
start,6.816382061568219
simul,6.806339987554842
cell,6.801491832761065
comfort,6.7975951924148825
optimis,6.7880026742871795
societi,6.769978550290184
concret,6.769182023500486
mechan,6.766109373044332
mani,6.745837852719361
focus,6.735115684110672
temperatur,6.722451876663461
fund,6.70325780526763
nzeb,6.652501581004092
predict,6.633317791939654
sever,6.622765521174626
panel,6.618202103593301
modul,6.606732340515804
space,6.598355889902131
adopt,6.591320270598627
economi,6.588578951702915
ecosystem,6.5771571825469195
possibl,6.52474524463473
clean,6.521071957497197
cooper,6.510330194017109
gap,6.510242148942226
transfer,6.502880143108242
govern,6.50258444791436
context,6.482814901078512
grow,6.472258084407671
meet,6.454495167372676
number,6.450592726605499
lack,6.445328601502216
packag,6.436079097510213
electron,6.3999000714684575
deep,6.397928859197682
modular,6.396687087249521
collect,6.388853509778468
better,6.379661534612814
centr,6.322237038896605
therefor,6.317937484540735
expertis,6.297201237122832
uniqu,6.274540389564195
beyond,6.270808275959561
compar,6.258163148558161
step,6.247632836085493
consid,6.232340207514953
estim,6.223631333435866
techniqu,6.221964929794481
driven,6.202759095689487
issu,6.1931575561343655
softwar,6.18509985422268
actor,6.164110542013574
agricultur,6.150612700351851
full,6.145081669215689
via,6.127772345467104
organis,6.100500142092937
lower,6.098346984785273
peopl,6.0854508026064735
type,6.084012488455398
human,6.079332359185132
treatment,6.06446057610465
recycl,6.0626804719565826
continu,6.050611032490878
next,6.048018807392584
resili,6.022229456678481
owner,6.0212518790835645
call,6.009338438570743
emerg,5.996205814729643
ani,5.98781792747922
among,5.981630647220433
like,5.979802009768222
exchang,5.968264921764623
expert,5.9655118571510215
chemic,5.955991985127745
select,5.9084630849377815
properti,5.904836248291647
program,5.90261518900054
coordin,5.882355729569676
member,5.867509305915707
role,5.8639381773247905
cover,5.854156827726045
awar,5.835259456313635
without,5.8107152290754716
critic,5.806658821397917
cloud,5.804014998889848
pump,5.776392770316358
univers,5.745854808562709
form,5.74562019814589
price,5.7295750216385795
acceler,5.719741722493319
consist,5.7156732628568365
autom,5.695288245809897
big,5.6803701972019045
present,5.6795654715991315
epc,5.6773308619057445
glass,5.6752669001902625
alreadi,5.674622072459852
rate,5.658524079993154
around,5.63010701093703
size,5.603026616454247
effort,5.602705608345682
creation,5.58425492558799
physic,5.568396022504802
regul,5.554911430512558
attract,5.5482638971098055
fulli,5.536240391786177
less,5.527782977830984
element,5.517424207731785
scenario,5.496461397628577
uptak,5.493502028770022
link,5.489688781041721
locat,5.485565152286689
flow,5.476838937272831
individu,5.464831870283597
mainten,5.44663630290456
ii,5.439503145865288
defin,5.426529475283441
significantli,5.422117757644853
strong,5.421365396257242
stock,5.41047465712552
greenhous,5.407022573285615
peer,5.402164677365043
facil,5.386206141901646
educ,5.35222938471944
per,5.3376655968539195
afford,5.327474975950646
drive,5.306577487211999
maker,5.296514209094242
higher,5.289147111833906
profession,5.271742443466564
edg,5.245810616121289
face,5.2284841606874375
four,5.22018268626874
close,5.21883985774353
art,5.20371958074671
socio,5.202650371091433
safeti,5.196745523065836
featur,5.18972507790908
popul,5.17833574927669
complet,5.17030026234917
made,5.163812701163938
roadmap,5.157521386502186
factor,5.153806896290932
algorithm,5.15187441071352
necessari,5.136267525777038
indoor,5.136260301532194
wp,5.129465498209518
load,5.124002523942017
point,5.1178139390174735
hybrid,5.115543325555067
mean,5.114510973355184
scalabl,5.110508275458202
line,5.099580820147361
lab,5.095803498055942
refurbish,5.089637073601996
block,5.075326551059601
joint,5.0648254720761825
analyt,5.059289603739594
prototyp,5.054518348183124
sinc,5.039858778688782
billion,5.032719215192864
amount,5.031844165066579
circular,5.028402085452223
singl,5.021077046710798
moreov,5.017607993553687
primari,4.994944757898037
speed,4.989950461865072
etc,4.967482834133613
academ,4.95525902388065
leverag,4.952435476406233
multipl,4.947363026218117
interest,4.921647646250022
photovolta,4.910125938331404
foster,4.898725717926272
machin,4.894212677921992
bio,4.886713898171199
carri,4.882679055232548
recommend,4.880608911301284
analys,4.876669268166827
eco,4.8766409724449
variou,4.866922279838653
island,4.863106285543228
trl,4.8542709034220595
altern,4.849528374084774
whole,4.844475947966099
pollut,4.815183129459111
advantag,4.814963265669931
second,4.813704122283448
fundament,4.799991127242525
domain,4.797562217228024
instrument,4.793486777369353
transpar,4.7891307723390115
core,4.788599362457449
fossil,4.786518806875876
explor,4.78050404043628
excel,4.77333850784415
spain,4.7729877143180115
forecast,4.770845895814341
particular,4.76998633532613
recent,4.767725737064131
play,4.7585683507973355
directli,4.733494616687047
friendli,4.7124198064792795
meter,4.701391056168835
biomass,4.691889967777485
act,4.6449368352056375
loss,4.640121354312703
guarante,4.623501543069131
poverti,4.621157171692635
built,4.613786923420737
outcom,4.569262303067535
could,4.568790377149867
us,4.559036024141704
holist,4.549593016776531
balanc,4.533600191473985
tradit,4.531545134096566
cross,4.522730754361777
ad,4.521106447367834
cut,4.515901443875297
divers,4.505629338756452
extens,4.48942591838115
along,4.4723770917015715
asset,4.451632487370241
internet,4.44968519026287
introduc,4.443550941310304
revenu,4.436731914737212
intervent,4.434797931278915
would,4.4286442041806655
tailor,4.4262194585742565
readi,4.426167377293748
free,4.420108835134946
coupl,4.410931859045008
thank,4.4107214934383965
disrupt,4.410302885750911
envelop,4.402890386858585
compet,4.402845783003641
still,4.392732835087781
societ,4.389293386886808
depend,4.386689232272638
central,4.385677303857048
overcom,4.382909804094059
easi,4.37495445491756
place,4.369885619269922
hydrogen,4.369384022489853
composit,4.361620872230869
mitig,4.360218235855291
team,4.358672514688626
surfac,4.3544844742093405
wireless,4.3454632330570435
today,4.33140399504629
aspect,4.326593425135499
even,4.3217621169910725
stage,4.316943429335182
interoper,4.311198798660696
employ,4.310494857741695
especi,4.309128481535998
extrem,4.296260840488999
profit,4.2852205321075445
ambiti,4.285169233280973
strateg,4.28424532046629
occup,4.271647839604397
vision,4.251373624286664
extend,4.221412092981691
perspect,4.2185146140639285
intens,4.208640365189768
comprehens,4.208634797434012
nearli,4.20691346995287
special,4.203565352586
conduct,4.198020126847682
metal,4.19586712573974
common,4.192406103040111
fast,4.1922820473692965
land,4.18043397739804
wastewat,4.175215797322049
investor,4.172986123210202
synergi,4.1714828036169616
protect,4.167330262420964
bim,4.158609659408486
regulatori,4.137904927917142
strengthen,4.130072371579556
aggreg,4.127986684113522
gwh,4.101930698095186
ee,4.099849791026891
prepar,4.089449274373707
worldwid,4.077359531040189
regard,4.076498151721771
iii,4.065584441488251
convent,4.057364440174035
convers,4.050438300346479
investig,4.0376484028451625
micro,4.035567893447799
safe,4.034147178745123
promis,4.024964249315564
incorpor,4.022279057978678
interdisciplinari,4.021552601039928
virtual,4.0211524788110005
suitabl,4.020157186603969
host,4.011425088482162
wider,4.003989196438199
decreas,4.000116877474843
becaus,3.9960316579127952
topic,3.9956356989735724
player,3.993649166330507
medium,3.9876723946376784
assist,3.9791438235430903
tackl,3.970120754619664
patent,3.9570451524169292
respect,3.9452161870575324
prosum,3.9325512096067374
hub,3.9314947890391108
essenti,3.9310835165177656
led,3.9307573991079083
job,3.927322990260808
serv,3.9236627752978674
replac,3.9228927191209437
gain,3.9194403589783122
dr,3.9193230267172434
ghg,3.9185312269073758
ground,3.9144505552594095
basi,3.9079424405586742
throughout,3.9058985144221565
launch,3.905628247030379
huge,3.8985064080863685
breakthrough,3.8788666920087005
last,3.8737730816658242
evid,3.869944663306126
map,3.8668880123290372
obtain,3.865136382583216
shift,3.864169394820738
realiz,3.8516164540317686
assembl,3.8445506913087413
minim,3.835558577840416
utilis,3.8316261595867247
trend,3.821332486940846
partnership,3.8196971155472674
empow,3.8046632919561203
commit,3.7903743974673256
boost,3.7894686125431924
cultur,3.787831016105691
go,3.7873953589588303
bipv,3.7815232800759637
ai,3.7589016737199423
weather,3.7498041540247113
hand,3.7414740225205656
ev,3.739912797125021
roof,3.738897479622752
side,3.736528918098797
legal,3.7357882212065867
must,3.733223446355946
career,3.731274391773877
turn,3.72269907967832
solv,3.7216080745518925
procedur,3.7209235340964346
dedic,3.716551207572805
remain,3.7075561569467776
mainli,3.6942805335182904
output,3.6914646315831994
five,3.685437185704919
turbin,3.6850537725977808
move,3.676519407317112
show,3.6752852935539
upgrad,3.6623148065611217
indic,3.651692229251352
yet,3.642614666233442
experiment,3.6343582784650406
earli,3.612332555854966
stabil,3.6069031719822138
come,3.602402468334754
esco,3.58813479998906
event,3.5779580675654508
seismic,3.560262042231308
maxim,3.559606165336332
entir,3.5544569567105766
option,3.551773360522336
optic,3.542371535931734
ultim,3.542095687420557
recoveri,3.5286478778389485
neutral,3.5252335500124374
net,3.5233793639413395
crucial,3.521373578628312
footprint,3.5032126170577946
avoid,3.494951842944829
cluster,3.486302040084577
usag,3.4835758914894575
purpos,3.4735591309183063
africa,3.469382475290745
certif,3.4677868364819235
principl,3.4639545385378527
upon,3.451248202463683
expens,3.4478690175112057
complementari,3.4449620942814128
mass,3.4358428662933784
solid,3.4323195892918097
modern,3.4316440713842464
progress,3.4296132845257423
agenc,3.4269156445662876
variabl,3.4261418081592723
prioriti,3.422240137352787
heterogen,3.419481920584837
far,3.409676352800371
plug,3.409495429692924
bridg,3.4092581214292563
interfac,3.3980692196773066
find,3.3928161851669603
façad,3.389565093562161
compris,3.3894737068996394
detect,3.387219753043686
often,3.387112008540435
road,3.3865045306952424
poor,3.374887119868279
month,3.372622485873228
wall,3.3709375579284253
substanti,3.3704191068577654
car,3.367949760708182
caus,3.366517012229137
captur,3.3646048339534245
rais,3.364425829994169
union,3.3602700033834587
driver,3.356998808280755
concern,3.347768645308286
leader,3.343145484219922
raw,3.329644426322749
franc,3.3293121006025705
motiv,3.3128275302557455
ambit,3.311386600155771
acoust,3.3079671084034454
germani,3.298601166819495
much,3.29237248360473
lighthous,3.290734262336376
feedback,3.2902863299718157
consequ,3.2851252172171947
contract,3.276888213269731
numer,3.2751085489466374
densiti,3.262922959694632
polit,3.2594726955600786
decarbonis,3.2484366510426983
layer,3.247854519992561
dhc,3.2428650162729746
game,3.2421838516767076
near,3.2415832474720023
robust,3.2393401319904584
segment,3.2301453014250603
hardwar,3.2290712125391803
roll,3.22444922407753
remot,3.217342815283252
give,3.2148804374638154
deal,3.2015106602508263
theoret,3.198796965531059
extern,3.196157670002254
top,3.194124679297781
reli,3.19346772133041
person,3.186712647714925
annual,3.1695470788481113
maintain,3.1657880135000895
store,3.1639879254882812
uk,3.15657130749581
dso,3.1531014043987735
autonom,3.150314310583274
web,3.1487083501037842
reus,3.1425135867711926
particularli,3.1355482514283533
viabl,3.1306139397647743
put,3.130458889634038
paradigm,3.128799676862764
orient,3.1282860729024597
trade,3.125562742406902
embed,3.125305478211357
easili,3.1199262513451353
rural,3.1196723026707116
pre,3.1193851056912645
experienc,3.117056841259271
sale,3.109446389578835
automat,3.107158188675091
track,3.1000591834253126
day,3.0998824213692844
offic,3.09825177922321
fabric,3.097073617938764
may,3.0959580740171257
independ,3.094716657912634
massiv,3.094530315839994
shape,3.0940405464118306
third,3.0858358269171213
compact,3.080319968613038
period,3.0798119765353578
earth,3.0737939981652156
deriv,3.071477844522687
six,3.0669333654261353
short,3.060929713675753
artifici,3.060135056726555
furthermor,3.0576404816036895
interconnect,3.055727084225289
mix,3.0541495934143477
itali,3.053968055475499
detail,3.05194511054873
view,3.0487022704492364
actual,3.046896097074953
applianc,3.0461647341008318
port,3.0406807497045665
horizon,3.0394279297264015
guidelin,3.0376684250989765
pcm,3.0374487428813635
deliveri,3.032283315421828
ventil,3.029580166768986
vulner,3.016207914117005
intend,3.012915785455739
convert,3.004806940869878
wave,3.0027921839370784
remov,2.989855782990944
given,2.9846603930740723
pressur,2.9844580258662625
reason,2.9795651192384667
dialogu,2.978974325995033
respond,2.9783723411565783
exampl,2.970961076513979
rise,2.964789461991808
de,2.9630222384884126
reinforc,2.9603278656289755
urgent,2.9573859935513265
onlin,2.9570675384058482
pattern,2.9558156601860053
input,2.9540106752545876
observ,2.9507696495805833
epbd,2.942622699842649
trigger,2.9392455953387566
receiv,2.9294018665315242
influenc,2.923424932381541
configur,2.923147322926778
idea,2.922836190567444
character,2.922703960670768
clear,2.9215798888938656
broad,2.9183517793686247
refer,2.911132829681741
viabil,2.907059024022671
consult,2.9070551236553337
run,2.890495107991253
netherland,2.8887242718104464
align,2.885487775622071
commiss,2.8852322855349177
sound,2.8832723091157844
commercialis,2.8800782852333415
bill,2.8769743896114033
center,2.873118444873336
pathway,2.8488548851427127
behavior,2.841391031893682
realis,2.840986219147338
ice,2.8405742334913753
multidisciplinari,2.832253676018688
profil,2.8299278332079365
soil,2.8193997750379536
famili,2.8173129004784077
matur,2.81566568796361
cold,2.8117529689948886
theori,2.8043102316860122
sens,2.802650768467614
protocol,2.798971090497748
precis,2.798306038673387
great,2.797581092613846
averag,2.7958051824094743
determin,2.7869339401305857
penetr,2.7868188353680874
typic,2.7813334295170913
post,2.7775935756324213
reaction,2.7773122554162737
fellow,2.7709887565256914
good,2.766539769370026
lifetim,2.7591924675993362
stop,2.7480833852715607
procur,2.7478639317906177
simultan,2.7472296702408787
stimul,2.7369902578175247
proven,2.724705282929748
fulfil,2.724020990779112
paramet,2.723693424084528
provis,2.7236608574103696
station,2.7203347536790705
civil,2.7175013227416995
rapid,2.7162256541244822
workshop,2.7149829092232265
insight,2.709148553160435
decentr,2.708414447356664
nexu,2.6967841358626483
encourag,2.69070502705215
volum,2.6835960872730706
decad,2.679909117913328
gather,2.6743470643104845
ec,2.6731901546750754
crop,2.670220078208646
privaci,2.6658973581346324
quantifi,2.654124379714777
maximum,2.650797136195264
peak,2.6491955574478814
prevent,2.6486968763256846
ocean,2.6467567940052077
incent,2.6463455669449383
greec,2.637975966746316
guid,2.631817486931439
inclus,2.6312213480719517
prefabr,2.6291907744290617
break,2.628726790604393
traffic,2.6271305631016677
class,2.62086188770814
look,2.6160582171679834
complement,2.61411110166892
past,2.6127525724021967
expand,2.6125918473984715
therebi,2.6040685990313728
simpl,2.599705069189776
passiv,2.5993369321085287
identif,2.5990549792719633
esr,2.594414213488671
fire,2.59155718285517
maximis,2.5806913739606463
almost,2.5760229496246536
characterist,2.575736425120382
administr,2.5680277593320335
stream,2.565325536675256
client,2.5642709876936753
affect,2.5616997326217117
stabl,2.561687414623625
win,2.561535727066528
plu,2.560955993409249
unlock,2.55424800265066
despit,2.553925324060585
frame,2.5535788155956474
robot,2.551896437576945
geotherm,2.5516053062278523
parti,2.5507279520990633
membran,2.546535350137017
increasingli,2.546250854114151
concentr,2.5460911443608008
transmiss,2.541005354379586
fellowship,2.5355865909755533
highest,2.534636062201304
centric,2.5235611667641824
induc,2.520273848132552
care,2.5167104531994426
season,2.514955128135594
match,2.511633433881417
disciplinari,2.5088256041080426
catalyst,2.5086319524288214
besid,2.505653962535545
similar,2.5041809359681175
known,2.501069226715419
seek,2.5006436341260527
thing,2.494717208543385
forc,2.4914491065983655
agreement,2.4905112901221456
steel,2.478224911689871
multifunct,2.476523490240307
ultra,2.475199742066151
node,2.470972654131719
definit,2.4651571262465737
incom,2.4639424402358974
decarbon,2.462899533355825
matter,2.4608898352240134
dc,2.4587457482094925
format,2.4583117895109186
trust,2.454993330717843
tenant,2.4477600203649574
polym,2.44654943084213
media,2.4402963141236635
pillar,2.4367646169012875
valuabl,2.4333593336415644
payback,2.432533766293128
join,2.4243927991655765
